tag_id,index,year,month,day,AM91,AM91,AM91,AM93,AM93,AM93,AM99,AM99,AM99
,,,,,latitude,longitude,temperature,latitude,longitude,temperature,latitude,longitude,temperature
36,173,2008,2,2,-24.393794166666666,31.853149583333334,30.479166666666668,-24.39810653846154,31.84764076923077,27.03846153846154,-24.400526428571432,31.721198333333334,30.80952380952381
37,174,2008,2,3,-24.374453260869565,31.798327173913044,31.26086956521739,-24.378220666666664,31.80218688888889,31.4,-24.38566025,31.718887000000002,29.425
38,175,2008,2,4,-24.398441470588235,31.79445705882353,29.08823529411765,-24.407675,31.801161153846156,28.76923076923077,-24.392699545454548,31.718526818181818,30.204545454545453
39,176,2008,2,5,-24.39994916666667,31.81923625,31.354166666666668,-24.398272444444444,31.81654888888889,29.77777777777778,-24.407791025641025,31.71107282051282,31.153846153846153
40,177,2008,2,6,-24.390571041666664,31.83479708333333,29.75,-24.388975454545456,31.824721136363635,28.681818181818183,-24.40331230769231,31.733357307692305,27.384615384615383
41,178,2008,2,7,-24.408590444444442,31.84787977777778,30.88888888888889,-24.407021707317075,31.84669975609756,31.5609756097561,-24.395101904761905,31.724462857142857,27.142857142857142
42,179,2008,2,8,-24.407541041666665,31.8411875,31.5625,-24.40581588235294,31.841666176470586,29.88235294117647,-24.402652631578945,31.735770000000002,33.578947368421055
43,180,2008,2,9,-24.406022916666668,31.828001874999998,29.8125,-24.406951034482756,31.828458965517243,27.379310344827587,-24.415917954545456,31.71227409090909,29.136363636363637
44,181,2008,2,10,-24.392255000000002,31.804035625,28.916666666666668,-24.39810933333333,31.804756,29.5,-24.426743636363636,31.71273636363636,29.575757575757574
45,182,2008,2,11,-24.39622977272727,31.789347045454544,31.0,-24.3996725,31.789257142857142,30.392857142857142,-24.390346829268292,31.70120804878049,30.146341463414632
46,183,2008,2,12,-24.375172,31.79302022222222,29.933333333333334,-24.375613684210528,31.79378210526316,30.36842105263158,-24.384701111111113,31.707038055555554,29.0
47,184,2008,2,13,-24.39221173913043,31.78345391304348,27.152173913043477,-24.394181041666666,31.78303645833333,27.625,-24.38188906976744,31.721968372093023,27.906976744186046
48,185,2008,2,14,-24.37531304347826,31.792070000000002,29.847826086956523,-24.391410238095236,31.758748571428573,30.69047619047619,-24.3607411627907,31.70185023255814,29.697674418604652
49,186,2008,2,15,-24.384255416666665,31.804661874999997,31.520833333333332,-24.37975204545455,31.7599975,29.681818181818183,-24.352119333333334,31.709938222222224,31.0
50,187,2008,2,16,-24.388712666666667,31.792568666666668,31.355555555555554,-24.388251951219512,31.78942170731707,30.365853658536587,-24.386236739130435,31.719052608695655,31.304347826086957
51,188,2008,2,17,-24.387550833333332,31.799497083333335,30.0,-24.387664791666666,31.798991458333333,31.041666666666668,-24.38952861111111,31.702266666666667,29.13888888888889
52,189,2008,2,18,-24.39444590909091,31.77658909090909,30.863636363636363,-24.392341904761906,31.776856904761903,30.904761904761905,-24.35357111111111,31.685268222222223,31.733333333333334
53,190,2008,2,19,-24.402148125,31.787386041666668,31.166666666666668,-24.390989111111107,31.785034666666665,30.22222222222222,-24.30084076923077,31.671408461538462,30.653846153846153
54,191,2008,2,20,-24.407422391304348,31.814677826086953,30.5,-24.38351052631579,31.79594263157895,27.42105263157895,-24.286764,31.66492933333333,26.333333333333332
55,192,2008,2,21,-24.397112272727274,31.803164318181818,30.727272727272727,-24.392044782608696,31.793164782608695,32.608695652173914,-24.266951666666664,31.66067142857143,30.19047619047619
56,193,2008,2,22,-24.39383347826087,31.777533260869568,31.195652173913043,-24.385769411764706,31.774516470588235,31.823529411764707,-24.253899523809523,31.66006857142857,31.452380952380953
57,194,2008,2,23,-24.407072790697676,31.787481395348834,30.906976744186046,-24.336355833333332,31.799197083333336,31.104166666666668,-24.262403023255814,31.66132441860465,30.837209302325583
58,195,2008,2,24,-24.39286391304348,31.798172608695655,31.0,-24.301316170212765,31.80087510638298,30.319148936170212,-24.248838409090908,31.646301818181822,31.931818181818183
59,196,2008,2,25,-24.40300818181818,31.78840159090909,30.136363636363637,-24.30697347826087,31.79790304347826,30.782608695652176,-24.265590638297873,31.659112765957445,30.02127659574468
60,197,2008,2,26,-24.414135416666667,31.782678333333333,31.333333333333332,-24.30125090909091,31.78837340909091,30.613636363636363,-24.249558124999997,31.64495875,31.208333333333332
61,198,2008,2,27,-24.388161739130435,31.78713826086957,31.434782608695652,-24.313625384615385,31.80737807692308,29.23076923076923,-24.246698048780488,31.653763414634145,32.707317073170735
62,199,2008,2,28,-24.39377434782609,31.782240217391305,31.934782608695652,-24.32153,31.8165825,31.916666666666668,-24.251592727272726,31.662870454545455,31.431818181818183
63,200,2008,2,29,-24.39571239130435,31.78352282608696,32.369565217391305,-24.3427845,31.8176295,29.9,-24.260538139534887,31.655773720930235,31.093023255813954
64,201,2008,3,1,-24.389383749999997,31.793902083333332,32.208333333333336,-24.38162022222222,31.801246222222225,31.644444444444446,-24.265402888888886,31.643927555555557,32.48888888888889
65,202,2008,3,2,-24.387951666666666,31.757437916666664,32.270833333333336,-24.388316041666666,31.759024583333332,31.645833333333332,-24.272546595744682,31.63061404255319,33.148936170212764
66,203,2008,3,3,-24.407562708333334,31.707167291666668,31.5,-24.407629230769228,31.706894615384616,31.384615384615383,-24.305213260869564,31.666820217391304,31.956521739130434
67,204,2008,3,4,-24.404444042553187,31.708751276595745,31.80851063829787,-24.399664285714287,31.706640476190472,29.761904761904763,-24.386528,31.693470666666663,32.22222222222222
68,205,2008,3,5,-24.38960895833333,31.708805625,31.229166666666668,-24.392248000000002,31.706729000000003,30.7,-24.408374146341462,31.68702634146341,30.853658536585368
69,206,2008,3,6,-24.396495625,31.707813541666667,31.916666666666668,-24.398538947368422,31.70861842105263,32.26315789473684,-24.413902790697673,31.700087441860465,31.348837209302324
70,207,2008,3,7,-24.406233541666666,31.71454270833333,31.958333333333332,-24.404966875,31.715749375,31.6875,-24.40238622222222,31.688274444444446,31.822222222222223
71,208,2008,3,8,-24.389418478260872,31.71058130434783,31.5,-24.392935625,31.710076875,29.4375,-24.38812674418605,31.694717209302326,32.04651162790697
72,209,2008,3,9,-24.382332291666668,31.704400000000003,31.166666666666668,-24.381548125,31.699034375,29.1875,-24.384388260869564,31.686106956521737,30.717391304347824
73,210,2008,3,10,-24.364404375000003,31.6897975,31.833333333333332,-24.36908642857143,31.688279285714287,30.5,-24.3718475,31.69362409090909,30.681818181818183
74,211,2008,3,11,-24.26710854166667,31.665136666666665,32.291666666666664,-24.272114210526315,31.65568947368421,32.73684210526316,-24.27578808510638,31.667125531914895,31.4468085106383
75,212,2008,3,12,-24.22956375,31.678988125,31.833333333333332,-24.2305025,31.678863333333336,31.333333333333332,-24.220435744680852,31.650227021276596,31.74468085106383
76,213,2008,3,13,-24.230974375,31.689925000000002,30.8125,-24.23071416666667,31.690292499999998,30.666666666666668,-24.2297255,31.6355005,31.8
77,214,2008,3,14,-24.220501666666667,31.667180833333333,30.604166666666668,-24.220875882352942,31.668087647058822,31.0,-24.234940638297875,31.658538936170213,30.46808510638298
78,215,2008,3,15,-24.20197208333333,31.71197666666667,30.6875,-24.201227096774193,31.71163870967742,31.096774193548388,-24.23068911111111,31.685097333333335,30.88888888888889
79,216,2008,3,16,-24.202724666666665,31.69913244444444,21.955555555555556,-24.205708780487807,31.70704585365854,21.24390243902439,-24.241408958333334,31.673031249999998,21.833333333333332
80,217,2008,3,17,-24.196605208333335,31.6882925,25.875,-24.19885111111111,31.689629999999998,24.055555555555557,-24.26214125,31.659096875,26.416666666666668
81,218,2008,3,18,-24.209463958333334,31.709065,28.8125,-24.21125894736842,31.709201315789475,30.026315789473685,-24.260588936170212,31.65537765957447,30.340425531914892
82,219,2008,3,19,-24.20909479166667,31.72071645833333,30.75,-24.20970193548387,31.714856451612903,29.967741935483872,-24.238989148936174,31.655240425531915,30.893617021276597
83,220,2008,3,20,-24.159144166666668,31.662678958333334,30.583333333333332,-24.171204615384617,31.672503846153845,27.807692307692307,-24.219722444444447,31.64919377777778,30.488888888888887
84,221,2008,3,21,-24.186021874999998,31.684864791666666,30.145833333333332,-24.1852105,31.6969515,29.7,-24.225761739130437,31.643506304347827,30.369565217391305
85,222,2008,3,22,-24.222988333333333,31.719097083333335,30.416666666666668,-24.210164444444445,31.720312777777778,31.833333333333332,-24.237439130434783,31.66161239130435,29.956521739130434
86,223,2008,3,23,-24.32354104166667,31.786647291666668,27.645833333333332,-24.335814444444445,31.78674074074074,25.925925925925927,-24.274041219512196,31.743229268292687,28.926829268292682
